step,tokens_seen,epoch_frac,loss,perplexity,z_loss,lr_muon,lr_adamw,grad_norm_muon,grad_norm_adamw,mamba_grad_norm,attn_grad_norm,ffn_grad_norm,tokens_per_sec,gpu_mem_mb,peak_gpu_mem_mb,elapsed_s
10,2579220,0.00027,11.21189,74005.394,0.0,0.00035778175313059033,5.366726296958854e-06,6.497247219085693,0.48866987228393555,6.472287509374769,0.49451937474013646,0.2814535099529498,21678.3,1750.8,7924.0,217.6
20,5158440,0.00054,10.89602,53961.039,0.0,0.0007155635062611807,1.0733452593917709e-05,7.789911270141602,0.7958824038505554,7.762315865850925,0.5818515312039599,0.30145343570534316,22386.0,1750.8,7924.0,334.3
30,7737660,0.0008,10.30135,29772.854,0.0,0.001073345259391771,1.6100178890876564e-05,11.310101509094238,0.9050477147102356,11.285488329963446,0.6650434690052985,0.3376749177826189,21816.8,1750.8,7924.0,453.1
40,10316880,0.00107,9.68291,16041.143,0.0,0.0014311270125223613,2.1466905187835417e-05,5.375847339630127,0.7017847299575806,5.3690517830229725,0.22459294407147534,0.1505529540623358,22397.3,1750.8,7924.0,568.9
50,12896100,0.00134,9.03538,8394.868,0.0,0.0017889087656529517,2.6833631484794274e-05,2.8887991905212402,0.5587940216064453,2.8848367109622224,0.12149462703889587,0.09024878800722257,21983.2,1750.8,7924.0,686.3
60,15475320,0.00161,8.64471,5680.017,0.0,0.002146690518783542,3.220035778175313e-05,4.42217493057251,0.5829362869262695,4.415939193872844,0.19849134116344905,0.12548307342889542,22316.9,1750.8,7924.0,801.9
70,18054540,0.00188,8.28756,3974.109,0.0,0.002504472271914132,3.756708407871198e-05,4.133928298950195,0.516765832901001,4.127244472897991,0.20057718673187405,0.12249670866034419,22323.5,1750.8,7924.0,917.5
80,20633760,0.00215,7.9937,2962.232,0.0,0.0028622540250447226,4.2933810375670835e-05,4.96540641784668,0.5860016942024231,4.9493146807687145,0.34984457144166536,0.19285847157246164,21888.9,1750.8,7924.0,1035.0
90,23212980,0.00241,7.72159,2256.545,0.0,0.0032200357781753132,4.830053667262969e-05,4.233373165130615,0.599144697189331,4.223647946436773,0.24887339283426574,0.14261982304264048,22193.9,1750.8,7924.0,1151.2
100,25792200,0.00268,7.3941,1626.357,0.0,0.0035778175313059034,5.366726296958855e-05,3.8172078132629395,0.5657950639724731,3.8064943107578446,0.24588163824919745,0.14588557247133851,22531.1,1750.8,7924.0,1265.5
110,28371420,0.00295,7.15898,1285.598,0.0,0.003935599284436494,5.9033989266547405e-05,2.771678924560547,0.4780346751213074,2.765039466126438,0.162132716750858,0.10248132959287776,22529.5,1750.8,7924.0,1379.9
120,30950640,0.00322,6.90623,998.479,0.0,0.004293381037567084,6.440071556350626e-05,2.7405004501342773,0.45478832721710205,2.731987565576407,0.18052103081682067,0.11844236135101419,22529.5,1750.8,7924.0,1494.3
130,33529860,0.00349,6.77823,878.514,0.0,0.004651162790697674,6.976744186046511e-05,2.4570605754852295,0.4324287474155426,2.44961358842013,0.15553075110604547,0.11127715697820631,22535.7,1750.8,7924.0,1624.5
140,36109080,0.00375,6.61555,746.613,0.0,0.005008944543828264,7.513416815742396e-05,2.3905296325683594,0.4380371868610382,2.3814881515007973,0.16595620118051488,0.1250411314898768,22526.7,1750.8,7924.0,1738.9
150,38688300,0.00402,6.44722,630.943,0.0,0.005366726296958855,8.050089445438281e-05,2.09917950630188,0.39188352227211,2.088799636215134,0.16485826972362178,0.12779688991155894,22531.4,1750.8,7924.0,1853.5
160,41267520,0.00429,6.30551,547.581,0.0,0.005724508050089445,8.586762075134167e-05,1.8030353784561157,0.3058665990829468,1.7915902668898012,0.1564638419307328,0.1291716235114165,22524.5,1750.8,7924.0,1967.8
170,43846740,0.00456,6.09225,442.418,0.0,0.006082289803220036,9.123434704830053e-05,1.807281732559204,0.2997156083583832,1.7937319910890073,0.16457189416905774,0.1474952850893053,22524.4,1750.8,7924.0,2082.3
180,46425960,0.00483,6.11052,450.571,0.0,0.0064400715563506265,9.660107334525938e-05,1.8775602579116821,0.41492223739624023,1.8604347434397526,0.18198434443590358,0.17593010290917405,22523.5,1750.8,7924.0,2196.7
190,49005180,0.00509,5.97532,393.595,0.0,0.006797853309481217,0.00010196779964221824,1.5890741348266602,0.3510431945323944,1.5704670170922486,0.16909825449553517,0.17390553748717558,22524.6,1750.8,7924.0,2311.1
200,51584400,0.00536,5.88912,361.087,0.0,0.007155635062611807,0.0001073345259391771,1.3488136529922485,0.3019470274448395,1.3280783733054105,0.1562137886590879,0.176483795197669,22523.2,1750.8,7924.0,2425.5
210,54163620,0.00563,5.75814,316.757,0.0,0.0075134168157423974,0.00011270125223613595,1.2393263578414917,0.30328038334846497,1.2170564554680074,0.1504127153660138,0.17927837859603435,22523.3,1750.8,7924.0,2539.9
220,56742840,0.0059,5.67124,290.396,0.0,0.007871198568872988,0.00011806797853309481,1.1187173128128052,0.24981056153774261,1.0936311222025863,0.14705299058146734,0.18432077446710446,22525.6,1750.8,7924.0,2654.5
230,59322060,0.00617,5.51382,248.096,0.0,0.008228980322003577,0.00012343470483005365,1.0710933208465576,0.30656343698501587,1.04438660450904,0.1424142160489965,0.19055527122286187,22520.5,1750.8,7924.0,2768.9
240,61901280,0.00644,5.36997,214.856,0.0,0.008586762075134168,0.0001288014311270125,1.067361831665039,0.23322716355323792,1.0406597366977803,0.1376928898106141,0.19367100034538084,22516.5,1750.8,7924.0,2883.4
250,64480500,0.0067,5.31575,203.517,0.0,0.008944543828264758,0.00013416815742397137,0.8954007625579834,0.23427340388298035,0.864089841538132,0.13458792060808075,0.19250697657961985,22516.9,1750.8,7924.0,2997.8
260,67059720,0.00697,5.19907,181.104,0.0,0.009302325581395349,0.00013953488372093022,0.7419381141662598,0.20676180720329285,0.713998352211815,0.1121591658691531,0.1678667717850629,22520.3,1750.8,7924.0,3126.0
270,69638940,0.00724,5.27337,195.072,0.0,0.00966010733452594,0.00014490161001788908,0.7191429734230042,0.24562738835811615,0.6877662835844651,0.11196022285540357,0.17805266936811726,22523.5,1750.8,7924.0,3240.4
280,72218160,0.00751,5.22574,185.999,0.0,0.010017889087656528,0.0001502683363148479,0.7434247136116028,0.2395389825105667,0.7078348313937018,0.12814069346157453,0.18788726062574543,22521.2,1750.8,7924.0,3354.9
290,74797380,0.00778,5.24608,189.82,0.0,0.010375670840787119,0.00015563506261180677,0.6544315814971924,0.1991214156150818,0.6196585510153022,0.11675642231220462,0.17537223974909116,22518.6,1750.8,7924.0,3469.4
300,77376600,0.00804,4.98686,146.475,0.0,0.01073345259391771,0.00016100178890876562,0.6811365485191345,0.2188868224620819,0.6457197599712541,0.12247044658354912,0.17929845343020445,22518.1,1750.8,7924.0,3583.9
310,79955820,0.00831,4.92517,137.712,0.0,0.0110912343470483,0.00016636851520572448,0.6570175886154175,0.21735705435276031,0.6197860980106562,0.12965300554013587,0.17567129846980797,22515.5,1750.8,7924.0,3698.3
320,82535040,0.00858,4.95781,142.282,0.0,0.01144901610017889,0.00017173524150268334,0.6423397064208984,0.22529660165309906,0.6007681213513816,0.1323836037675501,0.18494817025111934,22514.4,1750.8,7924.0,3812.8
330,85114260,0.00885,4.77076,118.009,0.0,0.011806797853309481,0.0001771019677996422,0.5211813449859619,0.17510631680488586,0.4894974344410318,0.10378933611850329,0.14610776595603292,22520.2,1750.8,7924.0,3927.2
340,87693480,0.00912,4.74551,115.067,0.0,0.012164579606440072,0.00018246869409660105,0.49704572558403015,0.18646842241287231,0.4663797034966377,0.10153677814791477,0.13919181011462117,22514.9,1750.8,7924.0,4041.6
350,90272700,0.00938,4.74919,115.49,0.0,0.012522361359570662,0.0001878354203935599,0.532946765422821,0.20335586369037628,0.49758471872469956,0.11584941676505932,0.15227696919400127,22516.0,1750.8,7924.0,4156.2
360,92851920,0.00965,4.65659,105.277,0.0,0.012880143112701253,0.00019320214669051877,0.49788275361061096,0.18697409331798553,0.46434010180673363,0.11275256665929635,0.1401346517827456,22515.5,1750.8,7924.0,4270.7
370,95431140,0.00992,4.68337,108.134,0.0,0.013237924865831844,0.00019856887298747762,0.5366910099983215,0.18507958948612213,0.49875771281676484,0.126943879563848,0.15261461871421056,22516.1,1750.8,7924.0,4385.4
380,98010360,0.01019,4.72467,112.694,0.0,0.013595706618962434,0.00020393559928443648,0.5440211892127991,0.21995103359222412,0.510113937506217,0.11932295956268855,0.14733847883087578,22505.6,1750.8,7924.0,4513.7
390,100589580,0.01046,4.77298,118.271,0.0,0.013953488372093023,0.00020930232558139534,0.45301416516304016,0.18466724455356598,0.4241279423765187,0.10069488992653658,0.12390017064049988,22513.3,1750.8,7924.0,4628.2
400,103168800,0.01073,4.5647,96.034,0.0,0.014311270125223614,0.0002146690518783542,0.45140230655670166,0.19536566734313965,0.4226314902326911,0.100805393445104,0.12316493552049504,22510.4,1750.8,7924.0,4742.7
410,105748020,0.01099,4.62495,101.998,0.0,0.014669051878354204,0.00022003577817531305,0.45361047983169556,0.1703132838010788,0.41991638177162455,0.11336172143866421,0.1291826685628483,22504.1,1750.8,7924.0,4857.2
420,108327240,0.01126,4.49651,89.704,0.0,0.015026833631484795,0.0002254025044722719,0.4121810495853424,0.17720751464366913,0.3844791478037461,0.09708202834108987,0.11294526670174437,22506.2,1750.8,7924.0,4971.9
430,110906460,0.01153,4.62446,101.947,0.0,0.015384615384615385,0.00023076923076923076,0.38228997588157654,0.16018077731132507,0.35746785640043516,0.08625106778497325,0.10507935118045665,22507.6,1750.8,7924.0,5086.4
440,113485680,0.0118,4.58351,97.858,0.0,0.015742397137745976,0.00023613595706618962,0.38661760091781616,0.17229296267032623,0.3642840439067491,0.08543628165818516,0.09823497554281686,22504.8,1750.8,7924.0,5200.9
450,116064900,0.01207,4.48669,88.827,0.0,0.016100178890876567,0.00024150268336314848,0.4113803505897522,0.1707545965909958,0.3856752787694719,0.09871236189224307,0.10458741480399875,22502.9,1750.8,7924.0,5315.4
460,118644120,0.01233,4.36439,78.601,0.0,0.016457960644007154,0.0002468694096601073,0.4338294267654419,0.17979037761688232,0.4097005971600044,0.09707003985184147,0.10580369227285534,22507.7,1750.8,7924.0,5429.9
470,121223340,0.0126,4.42823,83.783,0.0,0.016815742397137744,0.00025223613595706616,0.36780065298080444,0.18425488471984863,0.34310109019856644,0.09049320679748933,0.09745555767099538,22508.9,1750.8,7924.0,5544.4
480,123802560,0.01287,4.37131,79.147,0.0,0.017173524150268335,0.000257602862254025,0.3522215485572815,0.14311721920967102,0.3326270253610075,0.07826567515855645,0.08639605200339467,22497.1,1750.8,7924.0,5658.9
490,126381780,0.01314,4.25412,70.395,0.0,0.017531305903398926,0.0002629695885509839,0.36908191442489624,0.13355973362922668,0.3539179742993432,0.0722613036740639,0.0773708842350581,22506.8,1750.8,7924.0,5773.6
500,128961000,0.01341,4.37427,79.382,0.0,0.017889087656529516,0.00026833631484794273,0.3438437581062317,0.17087069153785706,0.32222840215900783,0.08119744454544953,0.08933348734245003,22503.5,1750.8,7924.0,5888.1
510,131540220,0.01367,4.3491,77.409,0.0,0.018246869409660107,0.0002737030411449016,0.34065142273902893,0.17849203944206238,0.31809757305366404,0.08386312750492467,0.0894362165697085,22504.5,1750.8,7924.0,6016.4
520,134119440,0.01394,4.44096,84.856,0.0,0.018604651162790697,0.00027906976744186045,0.3368563950061798,0.15551362931728363,0.31566348673451533,0.08423447771141623,0.08290427740097216,22508.5,1750.8,7924.0,6130.9
530,136698660,0.01421,4.2489,70.029,0.0,0.018962432915921288,0.0002844364937388193,0.3081612288951874,0.14420267939567566,0.28982074626350796,0.07284104789017518,0.07632659426910149,22509.4,1750.8,7924.0,6245.4
540,139277880,0.01448,4.26063,70.855,0.0,0.01932021466905188,0.00028980322003577816,0.32787400484085083,0.15727409720420837,0.3067978284230734,0.08294528214019378,0.08143101663555896,22505.1,1750.8,7924.0,6360.0
550,141857100,0.01475,4.06357,58.182,0.0,0.01967799642218247,0.000295169946332737,0.31541407108306885,0.13871248066425323,0.29696555276976005,0.0777899160366874,0.07360481557243632,22209.5,1750.8,7924.0,6474.6
560,144436320,0.01502,4.0871,59.567,0.0,0.019999999967091744,0.0002999999995063761,0.2846250534057617,0.13165345788002014,0.26600981473986185,0.07440512649816179,0.06959323952033356,22493.7,1750.8,7924.0,6589.2
570,147015540,0.01528,4.28407,72.535,0.0,0.019999996018101176,0.0002999999402715176,0.281585156917572,0.1712486743927002,0.260780606467151,0.07700182333318993,0.07377116379108367,22492.0,1750.8,7924.0,6703.7
580,149594760,0.01555,4.18683,65.814,0.0,0.019999985487462485,0.00029999978231193725,0.28557315468788147,0.14693014323711395,0.2663138294493879,0.07512728401288947,0.07145944921136319,22494.8,1750.8,7924.0,6818.3
590,152173980,0.01582,4.22122,68.117,0.0,0.019999968375183374,0.0002999995256277506,0.3235371708869934,0.14944425225257874,0.29827496989942215,0.10314576719893911,0.07240477710143257,22494.5,1750.8,7924.0,6932.9
600,154753200,0.01609,4.06644,58.349,0.0,0.019999944681276357,0.0002999991702191453,0.25717493891716003,0.14540153741836548,0.23922968618898535,0.07136743006613082,0.06279172297970959,22493.8,1750.8,7924.0,7047.5
610,157332420,0.01636,4.15413,63.697,0.0,0.019999914405758757,0.0002999987160863813,0.2723768949508667,0.1464071124792099,0.2509093233066606,0.07958144774838904,0.07164941143122244,22496.2,1750.8,7924.0,7162.0
620,159911640,0.01662,4.11258,61.104,0.0,0.01999987754865272,0.00029999816322979074,0.27235183119773865,0.1431562900543213,0.2549244715150884,0.07332342926785994,0.06300504489040622,22500.4,1750.8,7924.0,7276.7
630,162490860,0.01689,3.99862,54.523,0.0,0.019999834109985196,0.0002999975116497779,0.2734362781047821,0.12879210710525513,0.2545538751730108,0.0790334491255556,0.062091849715478487,22489.2,1750.8,7924.0,7405.2
640,165070080,0.01716,4.04993,57.394,0.0,0.01999978408978795,0.0002999967613468192,0.3022187650203705,0.1540909856557846,0.2814987530805198,0.08989229373151796,0.0644799206923793,22493.0,1750.8,7924.0,7519.7
650,167649300,0.01743,4.14804,63.31,0.0,0.019999727488097568,0.0002999959123214635,0.282063752412796,0.18955686688423157,0.2644751363348097,0.07599227552154719,0.06291638709545454,22493.9,1750.8,7924.0,7634.3
660,170228520,0.0177,4.0954,60.063,0.0,0.019999664304955433,0.0002999949645743315,0.24042083323001862,0.13839609920978546,0.2212170491283815,0.07326712821647845,0.060098298807372344,22493.6,1750.8,7924.0,7748.9
670,172807740,0.01796,4.08755,59.594,0.0,0.019999594540407763,0.0002999939181061164,0.27346116304397583,0.13710902631282806,0.2560172551974068,0.07500767962873964,0.061510948497561606,22490.5,1750.8,7924.0,7863.4
680,175386960,0.01823,4.03926,56.784,0.0,0.019999518194505565,0.0002999927729175834,0.2600744962692261,0.13252021372318268,0.23992053977469407,0.08346560088750392,0.056869573557276946,22491.0,1750.8,7924.0,7978.0
690,177966180,0.0185,3.89444,49.128,0.0,0.019999435267304674,0.0002999915290095701,0.242717906832695,0.13928374648094177,0.22472968615763889,0.07494795514976284,0.053836492679212415,22501.1,1750.8,7924.0,8092.7
700,180545400,0.01877,4.04962,57.376,0.0,0.019999345758865732,0.00029999018638298596,0.23183850944042206,0.12348795682191849,0.21590342903098012,0.0665581650410387,0.05300557907519946,22500.9,1750.8,7924.0,8207.2
710,183124620,0.01904,4.03357,56.462,0.0,0.019999249669254204,0.00029998874503881303,0.24629656970500946,0.11758209764957428,0.23054098000222847,0.06787170837237766,0.05516627980428188,22505.2,1750.8,7924.0,8321.7
720,185703840,0.01931,3.94985,51.928,0.0,0.019999146998540353,0.0002999872049781052,0.22919464111328125,0.12145313620567322,0.2129500216826029,0.06826906378268298,0.05109198530315625,22505.7,1750.8,7924.0,8436.2
730,188283060,0.01957,4.0406,56.86,0.0,0.01999903774679926,0.0002999855662019889,0.2672933042049408,0.1276625096797943,0.24668289590641337,0.08714361725866364,0.0560483045610242,22500.9,1750.8,7924.0,8550.8
740,190862280,0.01984,4.05404,57.63,0.0,0.019998921914110828,0.00029998382871166237,0.2482413500547409,0.13792580366134644,0.22914497584664464,0.07917037939874541,0.054365980122493676,22501.5,1750.8,7924.0,8665.3
750,193441500,0.02011,4.00857,55.068,0.0,0.019998799500559758,0.0002999819925083963,0.23278871178627014,0.12785440683364868,0.21135719396055283,0.08225068856370336,0.053548619124757564,22504.8,1750.8,7924.0,8779.8
760,196020720,0.02038,3.90502,49.651,0.0,0.01999867050623557,0.0002999800575935335,0.2640548646450043,0.13401642441749573,0.24873309135747357,0.07318747797758464,0.05166399894683853,22502.5,1750.8,7924.0,8908.3
